#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
CS10_Chr08_Sanc	+	1	196012	196012	CS10_Chr08_Sanc	+	1	196012	196012	196012/196012	100.0%
CS10_Chr08_Sanc	+	1881	2016	136	1CBFP_cont1.4_Horiz	+	5813	5948	136	114/136	83.8%
CS10_Chr08_Sanc	+	1881	2016	136	M4_chr6_Horiz	+	3593	3728	136	114/136	83.8%
CS10_Chr08_Sanc	+	1881	2016	136	I73-1_tig03_Horiz	+	2992	3127	136	114/136	83.8%
CS10_Chr08_Sanc	+	2015	2983	969	1CBFP_cont1.4_Horiz	+	10471	11442	972	782/969	80.7%
CS10_Chr08_Sanc	+	2015	2983	969	M4_chr6_Horiz	+	8503	9474	972	782/969	80.7%
CS10_Chr08_Sanc	+	2015	2983	969	I73-1_tig03_Horiz	+	7776	8747	972	782/969	80.7%
CS10_Chr08_Sanc	+	6943	7480	538	CS10_Chr08_Sanc	+	7584	8074	491	411/490	83.9%
CS10_Chr08_Sanc	+	6960	7916	957	CS10_Chr08_Sanc	+	7196	8106	911	789/900	87.7%
CS10_Chr08_Sanc	+	6964	7175	212	CS10_Chr08_Sanc	+	7903	8106	204	159/203	78.3%
CS10_Chr08_Sanc	+	6964	7381	418	CS10_Chr08_Sanc	+	7705	8074	370	314/370	84.9%
CS10_Chr08_Sanc	+	6964	7222	259	CS10_Chr08_Sanc	+	7804	8062	259	214/259	82.6%
CS10_Chr08_Sanc	+	6964	7619	656	CS10_Chr08_Sanc	+	7507	8106	600	509/599	85.0%
CS10_Chr08_Sanc	+	6964	7678	715	CS10_Chr08_Sanc	+	7408	8074	667	576/667	86.4%
CS10_Chr08_Sanc	+	6964	7777	814	CS10_Chr08_Sanc	+	7309	8074	766	682/766	89.0%
CS10_Chr08_Sanc	+	6964	7975	1012	CS10_Chr08_Sanc	+	7063	8074	1012	845/964	87.7%
CS10_Chr08_Sanc	+	7063	8074	1012	CS10_Chr08_Sanc	+	6964	7975	1012	845/964	87.7%
CS10_Chr08_Sanc	+	7196	8106	911	CS10_Chr08_Sanc	+	6960	7916	957	789/900	87.7%
CS10_Chr08_Sanc	+	7309	8074	766	CS10_Chr08_Sanc	+	6964	7777	814	682/766	89.0%
CS10_Chr08_Sanc	+	7408	8074	667	CS10_Chr08_Sanc	+	6964	7678	715	576/667	86.4%
CS10_Chr08_Sanc	+	7507	8106	600	CS10_Chr08_Sanc	+	6964	7619	656	509/599	85.0%
CS10_Chr08_Sanc	+	7584	8074	491	CS10_Chr08_Sanc	+	6943	7480	538	411/490	83.9%
CS10_Chr08_Sanc	+	7705	8074	370	CS10_Chr08_Sanc	+	6964	7381	418	314/370	84.9%
CS10_Chr08_Sanc	+	7804	8062	259	CS10_Chr08_Sanc	+	6964	7222	259	214/259	82.6%
CS10_Chr08_Sanc	+	7903	8106	204	CS10_Chr08_Sanc	+	6964	7175	212	159/203	78.3%
CS10_Chr08_Sanc	+	8153	8360	208	CS10_Chr08_Sanc	+	149452	149655	204	161/204	78.9%
CS10_Chr08_Sanc	+	8686	8864	179	CS10_Chr08_Sanc	+	8698	8908	211	119/179	66.5%
CS10_Chr08_Sanc	+	8698	8908	211	CS10_Chr08_Sanc	+	8686	8864	179	119/179	66.5%
CS10_Chr08_Sanc	+	8735	8826	92	CS10_Chr08_Sanc	+	8704	8802	99	66/92	71.7%
CS10_Chr08_Sanc	+	9252	9613	362	CS10_Chr08_Sanc	+	142372	142734	363	307/360	85.3%
CS10_Chr08_Sanc	+	9252	9613	362	CS10_Chr08_Sanc	+	136374	136736	363	308/360	85.6%
CS10_Chr08_Sanc	+	9252	9613	362	CS10_Chr08_Sanc	+	135698	136060	363	308/360	85.6%
CS10_Chr08_Sanc	+	9254	9613	360	SN15_Chr05_Horiz	+	382881	383240	360	274/354	77.4%
CS10_Chr08_Sanc	+	9254	9629	376	CS10_Chr08_Sanc	+	129696	130077	382	266/376	70.7%
CS10_Chr08_Sanc	+	11136	12135	1000	CS10_Chr08_Sanc	+	120618	121616	999	785/998	78.7%
CS10_Chr08_Sanc	+	11406	11665	260	CS10_Chr08_Sanc	+	12036	12281	246	178/240	74.2%
CS10_Chr08_Sanc	+	11406	11784	379	CS10_Chr08_Sanc	+	11910	12283	374	298/365	81.6%
CS10_Chr08_Sanc	+	11406	11917	512	CS10_Chr08_Sanc	+	11784	12281	498	412/492	83.7%
CS10_Chr08_Sanc	+	11406	12015	610	CS10_Chr08_Sanc	+	11658	12266	609	529/600	88.2%
CS10_Chr08_Sanc	+	11406	12139	734	CS10_Chr08_Sanc	+	11532	12264	733	631/724	87.2%
CS10_Chr08_Sanc	+	11410	11661	252	CS10_Chr08_Sanc	+	121396	121646	251	193/249	77.5%
CS10_Chr08_Sanc	+	11410	11787	378	CS10_Chr08_Sanc	+	121270	121646	377	294/375	78.4%
CS10_Chr08_Sanc	+	11410	11913	504	CS10_Chr08_Sanc	+	121144	121646	503	409/501	81.6%
CS10_Chr08_Sanc	+	11410	12039	630	CS10_Chr08_Sanc	+	121018	121646	629	523/627	83.4%
CS10_Chr08_Sanc	+	11412	12934	1523	CS10_Chr08_Sanc	+	120768	122282	1515	1004/1442	69.6%
CS10_Chr08_Sanc	+	11532	12264	733	CS10_Chr08_Sanc	+	11406	12139	734	631/724	87.2%
CS10_Chr08_Sanc	+	11650	12281	632	CS10_Chr08_Sanc	+	120880	121525	646	505/622	81.2%
CS10_Chr08_Sanc	+	11658	12266	609	CS10_Chr08_Sanc	+	11406	12015	610	529/600	88.2%
CS10_Chr08_Sanc	+	11776	12248	473	CS10_Chr08_Sanc	+	120880	121352	473	379/464	81.7%
CS10_Chr08_Sanc	+	11784	12281	498	CS10_Chr08_Sanc	+	11406	11917	512	412/492	83.7%
CS10_Chr08_Sanc	+	11883	12281	399	CS10_Chr08_Sanc	+	120861	121273	413	301/389	77.4%
CS10_Chr08_Sanc	+	11910	12283	374	CS10_Chr08_Sanc	+	11406	11784	379	298/365	81.6%
CS10_Chr08_Sanc	+	12036	12281	246	CS10_Chr08_Sanc	+	11406	11665	260	178/240	74.2%
CS10_Chr08_Sanc	+	36183	36586	404	CS10_Chr08_Sanc	+	36686	37079	394	298/391	76.2%
CS10_Chr08_Sanc	+	36195	36302	108	CS10_Chr08_Sanc	+	36947	37054	108	68/108	63.0%
CS10_Chr08_Sanc	+	36195	36416	222	CS10_Chr08_Sanc	+	36822	37042	221	163/221	73.8%
CS10_Chr08_Sanc	+	36195	36712	518	CS10_Chr08_Sanc	+	36570	37079	510	386/507	76.1%
CS10_Chr08_Sanc	+	36195	36899	705	CS10_Chr08_Sanc	+	36321	37024	704	551/701	78.6%
CS10_Chr08_Sanc	+	36209	36830	622	CS10_Chr08_Sanc	+	36458	37084	627	479/621	77.1%
CS10_Chr08_Sanc	+	36321	37024	704	CS10_Chr08_Sanc	+	36195	36899	705	551/701	78.6%
CS10_Chr08_Sanc	+	36458	37084	627	CS10_Chr08_Sanc	+	36209	36830	622	479/621	77.1%
CS10_Chr08_Sanc	+	36570	37079	510	CS10_Chr08_Sanc	+	36195	36712	518	386/507	76.1%
CS10_Chr08_Sanc	+	36686	37079	394	CS10_Chr08_Sanc	+	36183	36586	404	298/391	76.2%
CS10_Chr08_Sanc	+	36822	37042	221	CS10_Chr08_Sanc	+	36195	36416	222	163/221	73.8%
CS10_Chr08_Sanc	+	37788	37855	68	CS10_Chr08_Sanc	+	144356	144423	68	56/68	82.4%
CS10_Chr08_Sanc	+	39537	40382	846	1CBFP_cont1.4_Horiz	+	44293	45195	903	560/844	66.4%
CS10_Chr08_Sanc	+	39537	40382	846	M4_chr6_Horiz	+	36922	37824	903	560/844	66.4%
CS10_Chr08_Sanc	+	39537	40382	846	I73-1_tig03_Horiz	+	39285	40187	903	560/844	66.4%
CS10_Chr08_Sanc	+	46664	46734	71	1CBFP_cont1.4_Horiz	+	47638	47708	71	54/71	76.1%
CS10_Chr08_Sanc	+	46664	46734	71	M4_chr6_Horiz	+	40267	40337	71	54/71	76.1%
CS10_Chr08_Sanc	+	46664	46734	71	I73-1_tig03_Horiz	+	42630	42700	71	54/71	76.1%
CS10_Chr08_Sanc	+	46664	46735	72	CS10_Chr08_Sanc	+	47055	47126	72	57/72	79.2%
CS10_Chr08_Sanc	+	46664	46752	89	CS10_Chr08_Sanc	+	47038	47126	89	73/89	82.0%
CS10_Chr08_Sanc	+	46664	46768	105	1CBFP_cont1.4_Horiz	+	47604	47708	105	79/105	75.2%
CS10_Chr08_Sanc	+	46664	46768	105	M4_chr6_Horiz	+	40233	40337	105	79/105	75.2%
CS10_Chr08_Sanc	+	46664	46768	105	I73-1_tig03_Horiz	+	42596	42700	105	79/105	75.2%
CS10_Chr08_Sanc	+	46664	46789	126	CS10_Chr08_Sanc	+	47021	47146	126	96/126	76.2%
CS10_Chr08_Sanc	+	46664	46785	122	1CBFP_cont1.4_Horiz	+	47587	47708	122	93/122	76.2%
CS10_Chr08_Sanc	+	46664	46785	122	M4_chr6_Horiz	+	40216	40337	122	93/122	76.2%
CS10_Chr08_Sanc	+	46664	46785	122	I73-1_tig03_Horiz	+	42579	42700	122	93/122	76.2%
CS10_Chr08_Sanc	+	46664	47023	360	SN15_Chr05_Horiz	+	67373	67739	367	247/358	69.0%
CS10_Chr08_Sanc	+	46664	46802	139	1CBFP_cont1.4_Horiz	+	47570	47708	139	104/139	74.8%
CS10_Chr08_Sanc	+	46664	46802	139	M4_chr6_Horiz	+	40199	40337	139	104/139	74.8%
CS10_Chr08_Sanc	+	46664	46802	139	I73-1_tig03_Horiz	+	42562	42700	139	104/139	74.8%
CS10_Chr08_Sanc	+	46664	46984	321	SN15_Chr05_Horiz	+	67390	67719	330	222/321	69.2%
CS10_Chr08_Sanc	+	46664	47035	372	SN15_Chr05_Horiz	+	67339	67719	381	259/372	69.6%
CS10_Chr08_Sanc	+	46664	46836	173	CS10_Chr08_Sanc	+	46987	47164	178	133/173	76.9%
CS10_Chr08_Sanc	+	46664	46797	134	CS10_Chr08_Sanc	+	47004	47137	134	116/134	86.6%
CS10_Chr08_Sanc	+	46664	47074	411	SN15_Chr05_Horiz	+	67322	67739	418	283/409	69.2%
CS10_Chr08_Sanc	+	46664	47069	406	SN15_Chr05_Horiz	+	67305	67719	415	286/406	70.4%
CS10_Chr08_Sanc	+	46664	46845	182	CS10_Chr08_Sanc	+	46970	47156	187	142/182	78.0%
CS10_Chr08_Sanc	+	46664	46836	173	1CBFP_cont1.4_Horiz	+	47536	47708	173	131/173	75.7%
CS10_Chr08_Sanc	+	46664	46836	173	M4_chr6_Horiz	+	40165	40337	173	131/173	75.7%
CS10_Chr08_Sanc	+	46664	46836	173	I73-1_tig03_Horiz	+	42528	42700	173	131/173	75.7%
CS10_Chr08_Sanc	+	46664	47122	459	SN15_Chr05_Horiz	+	67254	67721	468	329/459	71.7%
CS10_Chr08_Sanc	+	46664	46853	190	1CBFP_cont1.4_Horiz	+	47519	47708	190	145/190	76.3%
CS10_Chr08_Sanc	+	46664	46853	190	M4_chr6_Horiz	+	40148	40337	190	145/190	76.3%
CS10_Chr08_Sanc	+	46664	46853	190	I73-1_tig03_Horiz	+	42511	42700	190	145/190	76.3%
CS10_Chr08_Sanc	+	46664	46837	174	CS10_Chr08_Sanc	+	46953	47126	174	144/174	82.8%
CS10_Chr08_Sanc	+	46664	46870	207	1CBFP_cont1.4_Horiz	+	47502	47708	207	158/207	76.3%
CS10_Chr08_Sanc	+	46664	46870	207	M4_chr6_Horiz	+	40131	40337	207	158/207	76.3%
CS10_Chr08_Sanc	+	46664	46870	207	I73-1_tig03_Horiz	+	42494	42700	207	158/207	76.3%
CS10_Chr08_Sanc	+	46664	46887	224	1CBFP_cont1.4_Horiz	+	47485	47708	224	166/224	74.1%
CS10_Chr08_Sanc	+	46664	46887	224	M4_chr6_Horiz	+	40114	40337	224	166/224	74.1%
CS10_Chr08_Sanc	+	46664	46887	224	I73-1_tig03_Horiz	+	42477	42700	224	166/224	74.1%
CS10_Chr08_Sanc	+	46664	46854	191	CS10_Chr08_Sanc	+	46936	47126	191	161/191	84.3%
CS10_Chr08_Sanc	+	46664	46904	241	1CBFP_cont1.4_Horiz	+	47468	47708	241	182/241	75.5%
CS10_Chr08_Sanc	+	46664	46904	241	M4_chr6_Horiz	+	40097	40337	241	182/241	75.5%
CS10_Chr08_Sanc	+	46664	46904	241	I73-1_tig03_Horiz	+	42460	42700	241	182/241	75.5%
CS10_Chr08_Sanc	+	46664	46891	228	CS10_Chr08_Sanc	+	46919	47146	228	182/228	79.8%
CS10_Chr08_Sanc	+	46664	46921	258	1CBFP_cont1.4_Horiz	+	47451	47708	258	190/258	73.6%
CS10_Chr08_Sanc	+	46664	46921	258	M4_chr6_Horiz	+	40080	40337	258	190/258	73.6%
CS10_Chr08_Sanc	+	46664	46921	258	I73-1_tig03_Horiz	+	42443	42700	258	190/258	73.6%
CS10_Chr08_Sanc	+	46664	46925	262	CS10_Chr08_Sanc	+	46885	47146	262	208/262	79.4%
CS10_Chr08_Sanc	+	46664	47131	468	SN15_Chr05_Horiz	+	67220	67713	494	334/468	71.4%
CS10_Chr08_Sanc	+	46664	46888	225	CS10_Chr08_Sanc	+	46902	47126	225	200/225	88.9%
