#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
CS10_Chr08_Sanc	+	1	3266	3266	WAI2411_Chr02_Sanc	+	1	3267	3267	3067/3255	94.2%
CS10_Chr08_Sanc	+	1	3266	3266	WAI3384_Chr16_Sanc	+	1	3278	3278	3072/3260	94.2%
CS10_Chr08_Sanc	+	1	196006	196006	CS10_Chr08_Sanc	+	1	196006	196006	196006/196006	100.0%
CS10_Chr08_Sanc	+	5	3825	3821	CS10_Chr03_SancII	+	10	3823	3814	3726/3809	97.8%
CS10_Chr08_Sanc	+	5	3789	3785	CS27_Chr08_SancII	+	6	3788	3783	3716/3783	98.2%
CS10_Chr08_Sanc	+	3786	4687	902	CS10_Chr03_SancII	+	11093	11994	902	891/902	98.8%
CS10_Chr08_Sanc	+	4556	5339	784	CS10_Chr03_SancII	+	6513	7297	785	458/757	60.5%
CS10_Chr08_Sanc	+	4686	5378	693	CS27_Chr08_SancII	+	21913	22596	684	421/672	62.6%
CS10_Chr08_Sanc	+	6937	7474	538	CS10_Chr08_Sanc	+	7578	8068	491	411/490	83.9%
CS10_Chr08_Sanc	+	6954	7910	957	CS10_Chr08_Sanc	+	7190	8100	911	789/900	87.7%
CS10_Chr08_Sanc	+	6958	7169	212	CS10_Chr08_Sanc	+	7897	8100	204	159/203	78.3%
CS10_Chr08_Sanc	+	6958	7375	418	CS10_Chr08_Sanc	+	7699	8068	370	314/370	84.9%
CS10_Chr08_Sanc	+	6958	7216	259	CS10_Chr08_Sanc	+	7798	8056	259	214/259	82.6%
CS10_Chr08_Sanc	+	6958	7613	656	CS10_Chr08_Sanc	+	7501	8100	600	509/599	85.0%
CS10_Chr08_Sanc	+	6958	7672	715	CS10_Chr08_Sanc	+	7402	8068	667	576/667	86.4%
CS10_Chr08_Sanc	+	6958	7771	814	CS10_Chr08_Sanc	+	7303	8068	766	682/766	89.0%
CS10_Chr08_Sanc	+	6958	7969	1012	CS10_Chr08_Sanc	+	7057	8068	1012	845/964	87.7%
CS10_Chr08_Sanc	+	7057	8068	1012	CS10_Chr08_Sanc	+	6958	7969	1012	845/964	87.7%
CS10_Chr08_Sanc	+	7190	8100	911	CS10_Chr08_Sanc	+	6954	7910	957	789/900	87.7%
CS10_Chr08_Sanc	+	7303	8068	766	CS10_Chr08_Sanc	+	6958	7771	814	682/766	89.0%
CS10_Chr08_Sanc	+	7402	8068	667	CS10_Chr08_Sanc	+	6958	7672	715	576/667	86.4%
CS10_Chr08_Sanc	+	7501	8100	600	CS10_Chr08_Sanc	+	6958	7613	656	509/599	85.0%
CS10_Chr08_Sanc	+	7578	8068	491	CS10_Chr08_Sanc	+	6937	7474	538	411/490	83.9%
CS10_Chr08_Sanc	+	7699	8068	370	CS10_Chr08_Sanc	+	6958	7375	418	314/370	84.9%
CS10_Chr08_Sanc	+	7798	8056	259	CS10_Chr08_Sanc	+	6958	7216	259	214/259	82.6%
CS10_Chr08_Sanc	+	7897	8100	204	CS10_Chr08_Sanc	+	6958	7169	212	159/203	78.3%
CS10_Chr08_Sanc	+	8147	8354	208	WAI2411_Chr02_Sanc	+	143000	143203	204	161/204	78.9%
CS10_Chr08_Sanc	+	8147	8354	208	WAI3384_Chr16_Sanc	+	146059	146262	204	161/204	78.9%
CS10_Chr08_Sanc	+	8147	8354	208	CS10_Chr08_Sanc	+	149446	149649	204	161/204	78.9%
CS10_Chr08_Sanc	+	8166	9229	1064	CS27_Chr08_SancII	+	20195	21286	1092	958/1051	91.2%
CS10_Chr08_Sanc	+	8680	8858	179	CS10_Chr08_Sanc	+	8692	8902	211	119/179	66.5%
CS10_Chr08_Sanc	+	8692	8902	211	CS10_Chr08_Sanc	+	8680	8858	179	119/179	66.5%
CS10_Chr08_Sanc	+	8698	8808	111	CS27_Chr08_SancII	+	20750	20853	104	81/104	77.9%
CS10_Chr08_Sanc	+	8898	9219	322	WAI2411_Chr02_Sanc	+	31491	31847	357	227/320	70.9%
CS10_Chr08_Sanc	+	8898	9219	322	WAI3384_Chr16_Sanc	+	31437	31793	357	227/320	70.9%
CS10_Chr08_Sanc	+	9084	9233	150	CS27_Chr08_SancII	+	40110	40263	154	136/150	90.7%
CS10_Chr08_Sanc	+	9246	9607	362	WAI2411_Chr02_Sanc	+	135926	136287	362	307/359	85.5%
CS10_Chr08_Sanc	+	9246	9607	362	WAI3384_Chr16_Sanc	+	138988	139349	362	307/359	85.5%
CS10_Chr08_Sanc	+	9246	9607	362	WAI3384_Chr16_Sanc	+	132989	133350	362	306/359	85.2%
CS10_Chr08_Sanc	+	9246	9607	362	CS10_Chr08_Sanc	+	142366	142728	363	307/360	85.3%
CS10_Chr08_Sanc	+	9246	9641	396	CS10_Chr03_SancII	+	54011	54397	387	322/384	83.9%
CS10_Chr08_Sanc	+	9246	9607	362	CS10_Chr08_Sanc	+	136368	136730	363	308/360	85.6%
CS10_Chr08_Sanc	+	9246	9607	362	CS10_Chr08_Sanc	+	135692	136054	363	308/360	85.6%
CS10_Chr08_Sanc	+	11130	12129	1000	WAI2411_Chr02_Sanc	+	120849	121847	999	785/998	78.7%
CS10_Chr08_Sanc	+	11130	12129	1000	WAI3384_Chr16_Sanc	+	117889	118887	999	785/998	78.7%
CS10_Chr08_Sanc	+	11130	12129	1000	CS10_Chr08_Sanc	+	120612	121610	999	785/998	78.7%
CS10_Chr08_Sanc	+	11400	11659	260	CS10_Chr08_Sanc	+	12030	12275	246	178/240	74.2%
CS10_Chr08_Sanc	+	11400	11778	379	CS10_Chr08_Sanc	+	11904	12277	374	298/365	81.6%
CS10_Chr08_Sanc	+	11400	11911	512	CS10_Chr08_Sanc	+	11778	12275	498	412/492	83.7%
CS10_Chr08_Sanc	+	11400	12009	610	CS10_Chr08_Sanc	+	11652	12260	609	529/600	88.2%
CS10_Chr08_Sanc	+	11400	12133	734	CS10_Chr08_Sanc	+	11526	12258	733	631/724	87.2%
CS10_Chr08_Sanc	+	11404	11655	252	WAI2411_Chr02_Sanc	+	121627	121877	251	193/249	77.5%
CS10_Chr08_Sanc	+	11404	11655	252	WAI3384_Chr16_Sanc	+	118667	118917	251	193/249	77.5%
CS10_Chr08_Sanc	+	11404	11655	252	CS10_Chr08_Sanc	+	121390	121640	251	193/249	77.5%
CS10_Chr08_Sanc	+	11404	11781	378	WAI2411_Chr02_Sanc	+	121501	121877	377	294/375	78.4%
CS10_Chr08_Sanc	+	11404	11781	378	WAI3384_Chr16_Sanc	+	118541	118917	377	294/375	78.4%
CS10_Chr08_Sanc	+	11404	11781	378	CS10_Chr08_Sanc	+	121264	121640	377	294/375	78.4%
CS10_Chr08_Sanc	+	11404	11907	504	WAI2411_Chr02_Sanc	+	121375	121877	503	409/501	81.6%
