#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
CS10_Chr08_Sanc	+	1	3272	3272	WAI2411_Chr02_Sanc	+	1	3273	3273	3073/3261	94.2%
CS10_Chr08_Sanc	+	1	3272	3272	WAI3384_Chr16_Sanc	+	1	3284	3284	3077/3266	94.2%
CS10_Chr08_Sanc	+	1	3272	3272	WAI3382_Chr06_Sanc	+	1	3277	3277	3077/3265	94.2%
CS10_Chr08_Sanc	+	1	92670	92670	WAI3398_Chr04_Sanc	+	1	92619	92619	92603/92608	100.0%
CS10_Chr08_Sanc	+	1	196012	196012	CS10_Chr08_Sanc	+	1	196012	196012	196012/196012	100.0%
CS10_Chr08_Sanc	+	5	3272	3268	WAI3285_Chr02_Sanc	+	5	3277	3273	3074/3261	94.3%
CS10_Chr08_Sanc	+	5	3272	3268	WAI2432_tig045_chr08_chr07_Sanc	+	5	3275	3271	3072/3259	94.3%
CS10_Chr08_Sanc	+	5	92670	92666	WAI2431_Chr07_Sanc	+	5	92626	92622	92606/92616	100.0%
CS10_Chr08_Sanc	+	40	89926	89887	WAI3295_tig122_Sanc	+	1	89819	89819	89781/89807	100.0%
CS10_Chr08_Sanc	+	6943	7480	538	WAI3398_Chr04_Sanc	+	7580	8070	491	411/490	83.9%
CS10_Chr08_Sanc	+	6943	7480	538	WAI3295_tig122_Sanc	+	7537	8027	491	411/490	83.9%
CS10_Chr08_Sanc	+	6943	7480	538	WAI2431_Chr07_Sanc	+	7583	8073	491	411/490	83.9%
CS10_Chr08_Sanc	+	6943	7480	538	CS10_Chr08_Sanc	+	7584	8074	491	411/490	83.9%
CS10_Chr08_Sanc	+	6960	7916	957	WAI3398_Chr04_Sanc	+	7192	8102	911	789/900	87.7%
CS10_Chr08_Sanc	+	6960	7916	957	WAI3295_tig122_Sanc	+	7149	8059	911	789/900	87.7%
CS10_Chr08_Sanc	+	6960	7916	957	WAI2431_Chr07_Sanc	+	7195	8105	911	789/900	87.7%
CS10_Chr08_Sanc	+	6960	7916	957	CS10_Chr08_Sanc	+	7196	8106	911	789/900	87.7%
CS10_Chr08_Sanc	+	6964	7175	212	WAI3398_Chr04_Sanc	+	7899	8102	204	159/203	78.3%
CS10_Chr08_Sanc	+	6964	7175	212	WAI3295_tig122_Sanc	+	7856	8059	204	159/203	78.3%
CS10_Chr08_Sanc	+	6964	7175	212	WAI2431_Chr07_Sanc	+	7902	8105	204	159/203	78.3%
CS10_Chr08_Sanc	+	6964	7175	212	CS10_Chr08_Sanc	+	7903	8106	204	159/203	78.3%
CS10_Chr08_Sanc	+	6964	7381	418	WAI3398_Chr04_Sanc	+	7701	8070	370	314/370	84.9%
CS10_Chr08_Sanc	+	6964	7381	418	WAI3295_tig122_Sanc	+	7658	8027	370	314/370	84.9%
CS10_Chr08_Sanc	+	6964	7381	418	WAI2431_Chr07_Sanc	+	7704	8073	370	314/370	84.9%
CS10_Chr08_Sanc	+	6964	7381	418	CS10_Chr08_Sanc	+	7705	8074	370	314/370	84.9%
