#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
CS10_Chr08_Sanc	+	1	3272	3272	WAI2411_Chr02_Sanc	+	1	3273	3273	3073/3261	94.2%
CS10_Chr08_Sanc	+	1	3272	3272	WAI3384_Chr16_Sanc	+	1	3284	3284	3077/3266	94.2%
CS10_Chr08_Sanc	+	1	196012	196012	CS10_Chr08_Sanc	+	1	196012	196012	196012/196012	100.0%
CS10_Chr08_Sanc	+	6943	7480	538	CS10_Chr08_Sanc	+	7584	8074	491	411/490	83.9%
CS10_Chr08_Sanc	+	6960	7916	957	CS10_Chr08_Sanc	+	7196	8106	911	789/900	87.7%
CS10_Chr08_Sanc	+	6964	7175	212	CS10_Chr08_Sanc	+	7903	8106	204	159/203	78.3%
CS10_Chr08_Sanc	+	6964	7381	418	CS10_Chr08_Sanc	+	7705	8074	370	314/370	84.9%
CS10_Chr08_Sanc	+	6964	7222	259	CS10_Chr08_Sanc	+	7804	8062	259	214/259	82.6%
CS10_Chr08_Sanc	+	6964	7619	656	CS10_Chr08_Sanc	+	7507	8106	600	509/599	85.0%
CS10_Chr08_Sanc	+	6964	7678	715	CS10_Chr08_Sanc	+	7408	8074	667	576/667	86.4%
CS10_Chr08_Sanc	+	6964	7777	814	CS10_Chr08_Sanc	+	7309	8074	766	682/766	89.0%
CS10_Chr08_Sanc	+	6964	7975	1012	CS10_Chr08_Sanc	+	7063	8074	1012	845/964	87.7%
CS10_Chr08_Sanc	+	7063	8074	1012	CS10_Chr08_Sanc	+	6964	7975	1012	845/964	87.7%
CS10_Chr08_Sanc	+	7196	8106	911	CS10_Chr08_Sanc	+	6960	7916	957	789/900	87.7%
CS10_Chr08_Sanc	+	7309	8074	766	CS10_Chr08_Sanc	+	6964	7777	814	682/766	89.0%
CS10_Chr08_Sanc	+	7408	8074	667	CS10_Chr08_Sanc	+	6964	7678	715	576/667	86.4%
CS10_Chr08_Sanc	+	7507	8106	600	CS10_Chr08_Sanc	+	6964	7619	656	509/599	85.0%
CS10_Chr08_Sanc	+	7584	8074	491	CS10_Chr08_Sanc	+	6943	7480	538	411/490	83.9%
CS10_Chr08_Sanc	+	7705	8074	370	CS10_Chr08_Sanc	+	6964	7381	418	314/370	84.9%
CS10_Chr08_Sanc	+	7804	8062	259	CS10_Chr08_Sanc	+	6964	7222	259	214/259	82.6%
CS10_Chr08_Sanc	+	7903	8106	204	CS10_Chr08_Sanc	+	6964	7175	212	159/203	78.3%
CS10_Chr08_Sanc	+	8153	8360	208	WAI3384_Chr16_Sanc	+	146065	146268	204	161/204	78.9%
CS10_Chr08_Sanc	+	8153	8360	208	WAI2411_Chr02_Sanc	+	143006	143209	204	161/204	78.9%
CS10_Chr08_Sanc	+	8153	8360	208	CS10_Chr08_Sanc	+	149452	149655	204	161/204	78.9%
CS10_Chr08_Sanc	+	8686	8864	179	CS10_Chr08_Sanc	+	8698	8908	211	119/179	66.5%
CS10_Chr08_Sanc	+	8698	8908	211	CS10_Chr08_Sanc	+	8686	8864	179	119/179	66.5%
