#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
I73-1_tig03_Horiz	+	1	148913	148913	I73-1_tig03_Horiz	+	1	148913	148913	148913/148913	100.0%
I73-1_tig03_Horiz	+	3	927	925	SN15_Chr05_Horiz	+	32223	33146	924	756/924	81.8%
I73-1_tig03_Horiz	+	3	14412	14410	1CBFP_cont1.4_Horiz	+	2824	17109	14286	14256/14283	99.8%
I73-1_tig03_Horiz	+	3	14412	14410	M4_chr6_Horiz	+	604	15139	14536	14408/14410	100.0%
I73-1_tig03_Horiz	+	3126	3643	518	1CBFP_cont1.4_Horiz	+	118394	118900	507	382/503	75.9%
I73-1_tig03_Horiz	+	3126	3643	518	M4_chr6_Horiz	+	104620	105126	507	382/503	75.9%
I73-1_tig03_Horiz	+	3126	3643	518	I73-1_tig03_Horiz	+	112598	113104	507	382/503	75.9%
I73-1_tig03_Horiz	+	3936	4151	216	1CBFP_cont1.4_Horiz	+	7261	7478	218	184/216	85.2%
I73-1_tig03_Horiz	+	3936	4151	216	M4_chr6_Horiz	+	5293	5510	218	184/216	85.2%
I73-1_tig03_Horiz	+	3936	4151	216	I73-1_tig03_Horiz	+	4566	4783	218	184/216	85.2%
I73-1_tig03_Horiz	+	3936	4277	342	1CBFP_cont1.4_Horiz	+	7135	7478	344	297/342	86.8%
I73-1_tig03_Horiz	+	3936	4277	342	M4_chr6_Horiz	+	5167	5510	344	297/342	86.8%
I73-1_tig03_Horiz	+	3936	4277	342	I73-1_tig03_Horiz	+	4440	4783	344	297/342	86.8%
I73-1_tig03_Horiz	+	3936	4389	454	M4_chr6_Horiz	+	5041	5496	456	414/454	91.2%
I73-1_tig03_Horiz	+	3936	4389	454	1CBFP_cont1.4_Horiz	+	7009	7464	456	416/454	91.6%
I73-1_tig03_Horiz	+	3936	4389	454	I73-1_tig03_Horiz	+	4314	4769	456	419/454	92.3%
I73-1_tig03_Horiz	+	3936	4621	686	M4_chr6_Horiz	+	4915	5609	695	580/677	85.7%
I73-1_tig03_Horiz	+	3936	4621	686	1CBFP_cont1.4_Horiz	+	6883	7577	695	581/677	85.8%
I73-1_tig03_Horiz	+	3936	4621	686	I73-1_tig03_Horiz	+	4188	4882	695	585/677	86.4%
I73-1_tig03_Horiz	+	3936	4655	720	I73-1_tig03_Horiz	+	4062	4783	722	653/720	90.7%
I73-1_tig03_Horiz	+	3936	4655	720	M4_chr6_Horiz	+	4789	5510	722	657/720	91.2%
I73-1_tig03_Horiz	+	4062	4783	722	I73-1_tig03_Horiz	+	3936	4655	720	653/720	90.7%
I73-1_tig03_Horiz	+	4062	4882	821	M4_chr6_Horiz	+	4537	5348	812	703/803	87.5%
I73-1_tig03_Horiz	+	4188	4872	685	M4_chr6_Horiz	+	4537	5203	667	571/667	85.6%
I73-1_tig03_Horiz	+	4188	4783	596	1CBFP_cont1.4_Horiz	+	6757	7350	594	533/594	89.7%
I73-1_tig03_Horiz	+	4188	4882	695	I73-1_tig03_Horiz	+	3936	4621	686	585/677	86.4%
